V1	V3	V13	Protein.names	Organism	Gene.Ontology..biological.process.	Gene.Ontology.IDs
Ab_contig_52	Q4PMB3	2.81e-31	40S ribosomal protein S4	Ixodes scapularis (Black-legged tick) (Deer tick)	translation [GO:0006412]	GO:0003735; GO:0005840; GO:0006412; GO:0019843; GO:1990904
Ab_contig_57	P00829	0	ATP synthase subunit beta, mitochondrial (EC 7.1.2.2) (ATP synthase F1 subunit beta)	Bos taurus (Bovine)	proton motive force-driven mitochondrial ATP synthesis [GO:0042776]	GO:0005524; GO:0005753; GO:0016887; GO:0042776; GO:0045261; GO:0046933; GO:0046961
Ab_contig_59	P62250	3.17e-40	40S ribosomal protein S16	Rattus norvegicus (Rat)	cellular response to leukemia inhibitory factor [GO:1990830]; liver regeneration [GO:0097421]; maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000462]; ribosomal small subunit biogenesis [GO:0042274]; rRNA processing [GO:0006364]; translation [GO:0006412]	GO:0000462; GO:0003723; GO:0003735; GO:0006364; GO:0006412; GO:0015935; GO:0022626; GO:0022627; GO:0042274; GO:0045202; GO:0097421; GO:1990830
Ab_contig_66	Q4PMB3	1.66e-30	40S ribosomal protein S4	Ixodes scapularis (Black-legged tick) (Deer tick)	translation [GO:0006412]	GO:0003735; GO:0005840; GO:0006412; GO:0019843; GO:1990904
Ab_contig_68	P25457	7.44e-95	60S ribosomal protein L7-B	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	cytoplasmic translation [GO:0002181]; maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000463]	GO:0000463; GO:0002181; GO:0003723; GO:0003735; GO:0005730; GO:0005737; GO:0022625
Ab_contig_70	P56597	9.78e-37	Nucleoside diphosphate kinase homolog 5 (NDK-H 5) (NDP kinase homolog 5) (Inhibitor of p53-induced apoptosis-beta) (IPIA-beta) (Testis-specific nm23 homolog) (nm23-H5)	Homo sapiens (Human)	cilium assembly [GO:0060271]; cilium movement [GO:0003341]; CTP biosynthetic process [GO:0006241]; epithelial cilium movement involved in extracellular fluid movement [GO:0003351]; establishment of localization in cell [GO:0051649]; GTP biosynthetic process [GO:0006183]; negative regulation of oxidative stress-induced intrinsic apoptotic signaling pathway [GO:1902176]; nucleoside diphosphate phosphorylation [GO:0006165]; nucleoside metabolic process [GO:0009116]; spermatid development [GO:0007286]; spermatogenesis [GO:0007283]; UTP biosynthetic process [GO:0006228]; ventricular system development [GO:0021591]	GO:0003341; GO:0003351; GO:0004550; GO:0005576; GO:0005929; GO:0006165; GO:0006183; GO:0006228; GO:0006241; GO:0007283; GO:0007286; GO:0009116; GO:0021591; GO:0036126; GO:0051649; GO:0060271; GO:1902176
Ab_contig_73	P27085	2.67e-21	40S ribosomal protein S26	Octopus vulgaris (Common octopus)	cytoplasmic translation [GO:0002181]	GO:0002181; GO:0003735; GO:0022627; GO:0042788; GO:0098556
Ab_contig_77	Q9DFR6	5.95e-54	40S ribosomal protein S13	Gillichthys mirabilis (Long-jawed mudsucker)	translation [GO:0006412]	GO:0003735; GO:0005840; GO:0006412; GO:1990904
Ab_contig_85	Q71V39	6.64e-88	Elongation factor 1-alpha 2 (EF-1-alpha-2) (Eukaryotic elongation factor 1 A-2) (eEF1A-2) (Statin-S1)	Oryctolagus cuniculus (Rabbit)		GO:0003746; GO:0003924; GO:0005525; GO:0005634
Ab_contig_88	O43776	2.82e-25	Asparagine--tRNA ligase, cytoplasmic (EC 6.1.1.22) (Asparaginyl-tRNA synthetase) (AsnRS) (Asparaginyl-tRNA synthetase 1)	Homo sapiens (Human)	asparaginyl-tRNA aminoacylation [GO:0006421]; cell migration [GO:0016477]; cerebral cortex development [GO:0021987]; tRNA aminoacylation for protein translation [GO:0006418]	GO:0003676; GO:0004816; GO:0005524; GO:0005737; GO:0005829; GO:0006418; GO:0006421; GO:0016477; GO:0021987; GO:0031728; GO:0046983; GO:0070062
Ab_contig_89	A5A6J2	1.29e-44	Probable ATP-dependent RNA helicase DDX5 (EC 3.6.4.13) (DEAD box protein 5)	Pan troglodytes (Chimpanzee)	alternative mRNA splicing, via spliceosome [GO:0000380]; androgen receptor signaling pathway [GO:0030521]; epithelial to mesenchymal transition [GO:0001837]; intracellular estrogen receptor signaling pathway [GO:0030520]; intrinsic apoptotic signaling pathway by p53 class mediator [GO:0072332]; miRNA transcription [GO:0061614]; myoblast differentiation [GO:0045445]; negative regulation of transcription by RNA polymerase II [GO:0000122]; nuclear-transcribed mRNA catabolic process [GO:0000956]; positive regulation of DNA damage response, signal transduction by p53 class mediator [GO:0043517]; regulation of alternative mRNA splicing, via spliceosome [GO:0000381]; regulation of androgen receptor signaling pathway [GO:0060765]; regulation of osteoblast differentiation [GO:0045667]; regulation of skeletal muscle cell differentiation [GO:2001014]; regulation of transcription by RNA polymerase II [GO:0006357]; rhythmic process [GO:0048511]	GO:0000122; GO:0000380; GO:0000381; GO:0000956; GO:0001837; GO:0003724; GO:0003730; GO:0005524; GO:0005634; GO:0005681; GO:0005730; GO:0005737; GO:0006357; GO:0016607; GO:0016887; GO:0030520; GO:0030521; GO:0043021; GO:0043517; GO:0045445; GO:0045667; GO:0048511; GO:0050681; GO:0060765; GO:0061614; GO:0072332; GO:1990841; GO:2001014
Ab_contig_90	Q95M17	5.63e-46	Acidic mammalian chitinase (AMCase) (EC 3.2.1.14) (Chitin-binding protein b04) (CBPb04)	Bos taurus (Bovine)	apoptotic process [GO:0006915]; chitin catabolic process [GO:0006032]; immune system process [GO:0002376]; polysaccharide catabolic process [GO:0000272]; positive regulation of chemokine production [GO:0032722]; production of molecular mediator involved in inflammatory response [GO:0002532]	GO:0000272; GO:0002376; GO:0002532; GO:0004568; GO:0005615; GO:0005737; GO:0006032; GO:0006915; GO:0008061; GO:0032722
Ab_contig_99	P50671	7.72e-37	Cytochrome c oxidase subunit 1 (EC 7.1.1.9) (Cytochrome c oxidase polypeptide I)	Choristoneura rosaceana (Oblique banded leafroller)	oxidative phosphorylation [GO:0006119]	GO:0004129; GO:0005743; GO:0006119; GO:0020037; GO:0046872; GO:0070469
Ab_contig_100	P29314	5.62e-45	40S ribosomal protein S9	Rattus norvegicus (Rat)	positive regulation of cell population proliferation [GO:0008284]; ribosomal small subunit biogenesis [GO:0042274]; translation [GO:0006412]	GO:0003735; GO:0005730; GO:0005737; GO:0006412; GO:0008284; GO:0015935; GO:0019843; GO:0022626; GO:0022627; GO:0042274; GO:0045182; GO:0045202; GO:1990904; GO:1990932
Ab_contig_101	P84100	1.03e-53	60S ribosomal protein L19	Rattus norvegicus (Rat)	cytoplasmic translation [GO:0002181]; liver regeneration [GO:0097421]	GO:0002181; GO:0003723; GO:0003735; GO:0022625; GO:0022626; GO:0042788; GO:0045202; GO:0070180; GO:0097421; GO:1990932
Ab_contig_111	P08428	1.55e-74	ATP synthase subunit alpha, mitochondrial (ATP synthase F1 subunit alpha)	Xenopus laevis (African clawed frog)		GO:0005524; GO:0005743; GO:0045261; GO:0046933
Ab_contig_116	Q03168	2.1e-97	Lysosomal aspartic protease (EC 3.4.23.-)	Aedes aegypti (Yellowfever mosquito) (Culex aegypti)	proteolysis [GO:0006508]	GO:0004190; GO:0005764; GO:0006508
Ab_contig_122	B3EWZ6	1.21e-25	MAM and LDL-receptor class A domain-containing protein 2 (Skeletal organic matrix MAM and LDL-receptor 2) (SOM MAM and LDL-receptor 2)	Acropora millepora (Staghorn coral) (Heteropora millepora)		GO:0005576; GO:0016020
Ab_contig_122	B3EWZ6	1.52e-21	MAM and LDL-receptor class A domain-containing protein 2 (Skeletal organic matrix MAM and LDL-receptor 2) (SOM MAM and LDL-receptor 2)	Acropora millepora (Staghorn coral) (Heteropora millepora)		GO:0005576; GO:0016020
Ab_contig_125	Q6QMZ7	5.63e-24	60S ribosomal protein L12	Chinchilla lanigera (Long-tailed chinchilla) (Chinchilla villidera)	translation [GO:0006412]	GO:0003723; GO:0003735; GO:0005840; GO:0006412; GO:1990904
Ab_contig_133	P49395	2.34e-39	40S ribosomal protein S3a (Lysine-rich protein KRP-A)	Aplysia californica (California sea hare)	translation [GO:0006412]	GO:0003735; GO:0006412; GO:0022627
Ab_contig_139	Q8WR62	6.04e-27	Vitelline envelope sperm lysin receptor	Haliotis rufescens (California red abalone)	sperm-egg recognition [GO:0035036]	GO:0005576; GO:0005886; GO:0035036; GO:0060388
Ab_contig_147	Q6TAW2	7.87e-32	Stress-associated endoplasmic reticulum protein 2 (Ribosome-associated membrane protein RAMP4-2)	Mus musculus (Mouse)	endoplasmic reticulum unfolded protein response [GO:0030968]; protein glycosylation [GO:0006486]; protein transport [GO:0015031]	GO:0005789; GO:0006486; GO:0015031; GO:0030968
Ab_contig_155	Q2YGT9	5.98e-28	60S ribosomal protein L6	Sus scrofa (Pig)	cytoplasmic translation [GO:0002181]; ribosomal large subunit assembly [GO:0000027]	GO:0000027; GO:0002181; GO:0003723; GO:0003735; GO:0005634; GO:0014069; GO:0015934; GO:0022625; GO:0036464; GO:0042788; GO:0098556
Ab_contig_160	Q642H9	4.53e-32	40S ribosomal protein S4, X isoform	Danio rerio (Zebrafish) (Brachydanio rerio)	brain development [GO:0007420]; chordate embryonic development [GO:0043009]; translation [GO:0006412]	GO:0003723; GO:0003735; GO:0006412; GO:0007420; GO:0019843; GO:0022627; GO:0043009
Ab_contig_164	Q5R8M9	3.48e-26	40S ribosomal protein S19	Pongo abelii (Sumatran orangutan) (Pongo pygmaeus abelii)	translation [GO:0006412]	GO:0003735; GO:0005840; GO:0006412; GO:1990904
Ab_contig_165	Q8ISP0	3.25e-60	40S ribosomal protein S18	Branchiostoma belcheri (Amphioxus)	translation [GO:0006412]	GO:0003735; GO:0005737; GO:0005840; GO:0006412; GO:0019843; GO:1990904
Ab_contig_168	P42577	4.29e-51	Soma ferritin (EC 1.16.3.1)	Lymnaea stagnalis (Great pond snail) (Helix stagnalis)	cellular iron ion homeostasis [GO:0006879]; iron ion transport [GO:0006826]	GO:0004322; GO:0005737; GO:0006826; GO:0006879; GO:0008199
Ab_contig_170	Q95NR9	1.88e-23	Calmodulin (CaM)	Metridium senile (Brown sea anemone) (Frilled sea anemone)		GO:0005509
Ab_contig_189	Q62186	7.67e-44	Translocon-associated protein subunit delta (TRAP-delta) (Signal sequence receptor subunit delta) (SSR-delta)	Mus musculus (Mouse)		GO:0005783; GO:0005784; GO:0012505
Ab_contig_192	P02402	7.99e-26	60S acidic ribosomal protein P1 (eL12'/ eL12'-P)	Artemia salina (Brine shrimp)	translational elongation [GO:0006414]	GO:0003735; GO:0006414; GO:0022626; GO:1990904
Ab_contig_193	P12613	3.04e-64	T-complex protein 1 subunit alpha (TCP-1-alpha) (CCT-alpha) (Chaperonin containing TCP1 subunit 1)	Drosophila melanogaster (Fruit fly)	follicle cell of egg chamber development [GO:0030707]; protein folding [GO:0006457]	GO:0005524; GO:0005829; GO:0005832; GO:0006457; GO:0016887; GO:0030707; GO:0051082; GO:0140662
Ab_contig_196	Q9EPH8	2.75e-36	Polyadenylate-binding protein 1 (PABP-1) (Poly(A)-binding protein 1)	Rattus norvegicus (Rat)	CRD-mediated mRNA stabilization [GO:0070934]; mRNA processing [GO:0006397]; negative regulation of nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay [GO:1900152]; negative regulation of nuclear-transcribed mRNA catabolic process, nonsense-mediated decay [GO:2000623]; nuclear-transcribed mRNA catabolic process, nonsense-mediated decay [GO:0000184]; positive regulation of cytoplasmic translation [GO:2000767]; positive regulation of nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay [GO:1900153]; positive regulation of nuclear-transcribed mRNA poly(A) tail shortening [GO:0060213]; positive regulation of viral genome replication [GO:0045070]; RNA splicing [GO:0008380]; RNA-mediated gene silencing [GO:0031047]	GO:0000184; GO:0003723; GO:0003729; GO:0003730; GO:0005634; GO:0005737; GO:0005829; GO:0006397; GO:0008022; GO:0008143; GO:0008266; GO:0008380; GO:0010494; GO:0030027; GO:0030425; GO:0031047; GO:0031252; GO:0036464; GO:0045070; GO:0045202; GO:0060213; GO:0070934; GO:0071013; GO:0106002; GO:1900152; GO:1900153; GO:1990124; GO:1990904; GO:2000623; GO:2000767
Ab_contig_198	Q8AVH4	2.16e-51	RNA-binding protein PNO1	Xenopus laevis (African clawed frog)		GO:0003723; GO:0005730
Ab_contig_204	Q5R9L9	2.74e-32	Proteasome maturation protein (Proteassemblin)	Pongo abelii (Sumatran orangutan) (Pongo pygmaeus abelii)	proteasome assembly [GO:0043248]	GO:0005783; GO:0005829; GO:0016020; GO:0016607; GO:0043248
Ab_contig_218	O13085	1.18e-28	Cytochrome c oxidase subunit 6A, mitochondrial (Cytochrome c oxidase polypeptide VIa)	Oncorhynchus mykiss (Rainbow trout) (Salmo gairdneri)	oxidative phosphorylation [GO:0006119]	GO:0005751; GO:0006119; GO:0016491
Ab_contig_222	Q3SX11	9.1e-123	Ribosome biogenesis protein NSA2 homolog (TGF-beta-inducible nuclear protein 1)	Bos taurus (Bovine)	maturation of 5.8S rRNA [GO:0000460]; maturation of LSU-rRNA [GO:0000470]	GO:0000460; GO:0000470; GO:0005730; GO:0030687
Ab_contig_227	Q6P823	2.51e-44	Histone H3.3	Xenopus tropicalis (Western clawed frog) (Silurana tropicalis)		GO:0000786; GO:0003677; GO:0005634; GO:0030527; GO:0046982
Ab_contig_233	B0FWD3	3.29e-84	NADH-ubiquinone oxidoreductase chain 5 (EC 7.1.1.2) (NADH dehydrogenase subunit 5)	Aedes aegypti (Yellowfever mosquito) (Culex aegypti)	ATP synthesis coupled electron transport [GO:0042773]	GO:0005743; GO:0008137; GO:0042773; GO:0070469
Ab_contig_242	Q962U1	2.73e-53	60S ribosomal protein L13	Spodoptera frugiperda (Fall armyworm)	translation [GO:0006412]	GO:0003735; GO:0005829; GO:0005840; GO:0006412; GO:1990904
Ab_contig_252	P00764	8.74e-40	Trypsin (EC 3.4.21.4)	Squalus acanthias (Spiny dogfish)	digestion [GO:0007586]; proteolysis [GO:0006508]	GO:0004252; GO:0005615; GO:0006508; GO:0007586; GO:0046872
Ab_contig_256	Q2KJE5	4.77e-24	Glyceraldehyde-3-phosphate dehydrogenase, testis-specific (EC 1.2.1.12) (Spermatogenic glyceraldehyde-3-phosphate dehydrogenase)	Bos taurus (Bovine)	glucose metabolic process [GO:0006006]; glycolytic process [GO:0006096]	GO:0004365; GO:0005829; GO:0006006; GO:0006096; GO:0050661; GO:0051287
Ab_contig_259	P30163	0	Actin-2 (EC 3.6.4.-)	Onchocerca volvulus		GO:0005524; GO:0005737; GO:0005856; GO:0016787
Ab_contig_261	O61998	1.35e-26	Heat shock protein 90	Brugia pahangi (Filarial nematode worm)		GO:0005524; GO:0005737; GO:0016887; GO:0051082; GO:0140662
Ab_contig_265	Q3SYT7	1.28e-33	26S proteasome non-ATPase regulatory subunit 8 (26S proteasome regulatory subunit RPN12)	Bos taurus (Bovine)	proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]	GO:0005634; GO:0008541; GO:0022624; GO:0043161
Ab_contig_268	Q9GP32	8.2e-129	Fructose-bisphosphate aldolase (EC 4.1.2.13)	Echinococcus multilocularis (Fox tapeworm)	glycolytic process [GO:0006096]	GO:0004332; GO:0006096
Ab_contig_273	P49609	5.86e-43	Aconitate hydratase, mitochondrial (Aconitase) (EC 4.2.1.3) (Citrate hydro-lyase)	Gracilaria gracilis (Red alga)	tricarboxylic acid cycle [GO:0006099]	GO:0003994; GO:0005739; GO:0006099; GO:0046872; GO:0047780; GO:0051539
Ab_contig_275	Q26636	1.5e-67	Cathepsin L (EC 3.4.22.15) [Cleaved into: Cathepsin L heavy chain; Cathepsin L light chain]	Sarcophaga peregrina (Flesh fly) (Boettcherisca peregrina)	cell differentiation [GO:0030154]; proteolysis [GO:0006508]	GO:0004197; GO:0005764; GO:0006508; GO:0030154
Ab_contig_276	Q9TU53	5.15e-24	Cubilin	Canis lupus familiaris (Dog) (Canis familiaris)	cholesterol metabolic process [GO:0008203]; protein transport [GO:0015031]	GO:0005509; GO:0005765; GO:0005768; GO:0005905; GO:0008203; GO:0015031; GO:0016324; GO:0031419; GO:0031526; GO:0043235
Ab_contig_283	O75096	1.25e-26	Low-density lipoprotein receptor-related protein 4 (LRP-4) (Multiple epidermal growth factor-like domains 7)	Homo sapiens (Human)	amyloid-beta clearance by cellular catabolic process [GO:0150094]; dendrite morphogenesis [GO:0048813]; dorsal/ventral pattern formation [GO:0009953]; embryonic digit morphogenesis [GO:0042733]; endocytosis [GO:0006897]; generation of neurons [GO:0048699]; hair follicle development [GO:0001942]; kidney development [GO:0001822]; limb development [GO:0060173]; negative regulation of axonogenesis [GO:0050771]; negative regulation of canonical Wnt signaling pathway [GO:0090090]; negative regulation of ossification [GO:0030279]; odontogenesis of dentin-containing tooth [GO:0042475]; positive regulation of peptidyl-tyrosine phosphorylation [GO:0050731]; positive regulation of presynaptic membrane organization [GO:1901631]; positive regulation of skeletal muscle acetylcholine-gated channel clustering [GO:1904395]; postsynaptic membrane assembly [GO:0097104]; presynaptic membrane assembly [GO:0097105]; proximal/distal pattern formation [GO:0009954]; skeletal muscle acetylcholine-gated channel clustering [GO:0071340]; synapse organization [GO:0050808]; synaptic assembly at neuromuscular junction [GO:0051124]; Wnt signaling pathway [GO:0016055]	GO:0001822; GO:0001942; GO:0005509; GO:0005886; GO:0006897; GO:0009953; GO:0009954; GO:0009986; GO:0014069; GO:0016055; GO:0030279; GO:0030425; GO:0030971; GO:0031594; GO:0034185; GO:0042475; GO:0042733; GO:0042803; GO:0043025; GO:0044853; GO:0048699; GO:0048813; GO:0050731; GO:0050771; GO:0050808; GO:0051124; GO:0060173; GO:0071340; GO:0090090; GO:0097060; GO:0097104; GO:0097105; GO:0097110; GO:0150094; GO:1901631; GO:1904395
Ab_contig_288	Q8N0N3	9.2e-27	Beta-1,3-glucan-binding protein (GBP)	Penaeus monodon (Giant tiger prawn)	carbohydrate metabolic process [GO:0005975]; innate immune response [GO:0045087]	GO:0001872; GO:0004553; GO:0005576; GO:0005975; GO:0045087
Ab_contig_304	Q9DG68	3.58e-155	60S acidic ribosomal protein P0 (60S ribosomal protein L10E)	Lithobates sylvaticus (Wood frog) (Rana sylvatica)	ribosome biogenesis [GO:0042254]	GO:0005840; GO:0042254; GO:1990904
Ab_contig_305	O43678	9.34e-29	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 2 (Complex I-B8) (CI-B8) (NADH-ubiquinone oxidoreductase B8 subunit)	Homo sapiens (Human)	aerobic respiration [GO:0009060]; blastocyst hatching [GO:0001835]; mitochondrial electron transport, NADH to ubiquinone [GO:0006120]; mitochondrial respiratory chain complex I assembly [GO:0032981]; proton motive force-driven mitochondrial ATP synthesis [GO:0042776]	GO:0001835; GO:0005743; GO:0005747; GO:0006120; GO:0008137; GO:0009060; GO:0031966; GO:0032981; GO:0042776
Ab_contig_306	P24534	9.73e-48	Elongation factor 1-beta (EF-1-beta)	Homo sapiens (Human)	translational elongation [GO:0006414]	GO:0003746; GO:0005085; GO:0005737; GO:0005829; GO:0005853; GO:0006414
Ab_contig_323	P23398	1.15e-48	Polyubiquitin [Cleaved into: Ubiquitin]	Strongylocentrotus purpuratus (Purple sea urchin)		GO:0005634; GO:0005737
Ab_contig_323	P23398	5.66e-31	Polyubiquitin [Cleaved into: Ubiquitin]	Strongylocentrotus purpuratus (Purple sea urchin)		GO:0005634; GO:0005737
Ab_contig_326	P41105	3e-36	60S ribosomal protein L28	Mus musculus (Mouse)	cytoplasmic translation [GO:0002181]; translation at postsynapse [GO:0140242]; translation at presynapse [GO:0140236]	GO:0002181; GO:0003735; GO:0005737; GO:0005829; GO:0005840; GO:0022625; GO:0022626; GO:0030425; GO:0036464; GO:0044297; GO:0045202; GO:0098793; GO:0098794; GO:0140236; GO:0140242
Ab_contig_330	Q8VEM8	1.89e-70	Phosphate carrier protein, mitochondrial (Phosphate transport protein) (PTP) (Solute carrier family 25 member 3)	Mus musculus (Mouse)	mitochondrial phosphate ion transmembrane transport [GO:1990547]; phosphate ion transmembrane transport [GO:0035435]	GO:0005315; GO:0005739; GO:0005743; GO:0015293; GO:0035435; GO:0043209; GO:0044877; GO:1990547
Ab_contig_343	Q95332	9.33e-34	Betaine--homocysteine S-methyltransferase 1 (EC 2.1.1.5)	Sus scrofa (Pig)	amino-acid betaine catabolic process [GO:0006579]; L-methionine salvage [GO:0071267]; methionine biosynthetic process [GO:0009086]; methylation [GO:0032259]	GO:0005634; GO:0005829; GO:0006579; GO:0008270; GO:0009086; GO:0032259; GO:0047150; GO:0071267
Ab_contig_349	P17050	1.79e-24	Alpha-N-acetylgalactosaminidase (EC 3.2.1.49) (Alpha-galactosidase B)	Homo sapiens (Human)	carbohydrate catabolic process [GO:0016052]; glycolipid catabolic process [GO:0019377]; glycoside catabolic process [GO:0016139]; oligosaccharide metabolic process [GO:0009311]	GO:0004557; GO:0005737; GO:0005764; GO:0008456; GO:0009311; GO:0016052; GO:0016139; GO:0019377; GO:0042803; GO:0070062
